Fecha,Total_Raw,Total_Consistent,Via_Aerea,Via_Terrestre,Via_Maritima,Pais_El Salvador,Pais_Guatemala,Pais_Estados Unidos de América
2021-11-01,116908.17755114578,98578.0,72673.0,42922.17755114579,1313.0,19587.17755114579,44567.0,21432.0
2021-12-01,246898.0,223569.1278011966,122254.0,122049.0,2595.0,82264.0,70711.0,51522.0
2022-01-01,151709.0,134303.0,97752.0,53281.0,676.0,23010.0,57588.0,27488.0
2022-02-01,232198.4,193903.6,84575.0,147175.4,448.0,46087.4,103677.0,28326.0
2022-03-01,296130.0,227886.0,106141.0,189137.0,852.0,68422.0,121167.0,38922.0
2022-04-01,386778.0,292648.0,124782.0,258094.0,3902.0,109382.0,145471.0,43043.0
2022-05-01,356400.0,260013.0,111839.0,243664.0,897.0,109611.0,145671.0,38791.0
2022-06-01,360283.0,269366.0,125316.0,234967.0,,105641.0,139311.0,51958.0
2022-07-01,397773.0,306246.0,131458.0,266315.0,,117800.0,150879.0,51030.0
2022-08-01,399193.0,297602.0,108896.0,290297.0,,136447.0,138402.0,35616.0
2022-09-01,348618.0,246464.0,103209.0,245409.0,,104097.0,135924.0,26932.0
2022-10-01,407715.0,281938.0,122939.0,281801.0,2975.0,110337.0,151684.0,32604.0
2022-11-01,453177.0,318693.0,131410.0,315529.0,6238.0,130231.0,159691.0,33302.0
2022-12-01,526190.0,400266.0,158463.0,357685.0,10042.0,155458.0,195874.0,51836.0
2023-01-01,291513.0,258166.18821264658,76401.0,214429.99999999997,682.0,144993.99999999988,,42980.0
2023-02-01,221331.00000000003,198751.85766927942,75406.0,145396.00000000003,529.0,115806.00000000006,,41407.99999999999
2023-03-01,279789.9999999997,251839.50267324003,92733.0,186351.9999999997,705.0,123877.99999999967,,55782.0
2023-04-01,306654.0000000003,283179.2556557846,79354.0,226626.00000000032,674.0,156559.0000000003,,44496.0
2023-05-01,239253.00000000006,213191.03891840694,71802.0,166906.00000000006,545.0,114599.99999999996,,41753.0
2023-06-01,253270.0000000001,224580.17382775573,87780.0,164892.0000000001,598.0,112605.00000000012,,61407.0
2023-07-01,275152.9999999998,257626.95044792976,99032.0,175496.99999999983,624.0,130189.99999999984,,62914.0
2023-08-01,292862.00000000006,264514.08794636687,79152.0,213118.0000000001,592.0,143511.00000000012,,45608.0
2023-09-01,247668.99999999985,218486.47810497988,67306.0,180016.99999999985,346.0,123361.99999999988,,33515.0
2023-10-01,191304.0,164499.38846570507,59326.0,131699.0,279.0,82875.0,,28945.0
2023-11-01,284085.0,255894.27623440052,89140.0,194406.99999999997,538.0,134425.00000000003,,45186.0
2023-12-01,365824.9999999998,327097.61316611955,108408.0,256911.99999999985,505.0,189184.99999999983,,68456.0
2024-01-01,333491.0,292731.86680673156,96039.0,236880.00000000003,572.0,158404.00000000006,,53061.0
2024-02-01,294529.9999999999,265990.67321318097,98871.0,195023.9999999999,635.0,134884.9999999999,,56908.0
2024-03-01,349965.0000000001,322310.39400228957,108491.0,240757.00000000012,717.0,169332.00000000015,,66372.0
2024-04-01,265183.0000000001,240988.81729405138,87857.0,176774.0000000001,552.0,122903.00000000007,,48372.0
2024-05-01,265989.00000000006,238807.9548151027,87997.0,177469.00000000003,523.0,127385.00000000003,,50956.0
2024-06-01,262613.00000000006,234781.22686199367,104464.0,157594.00000000006,555.0,105174.00000000004,,71451.0
2024-07-01,295477.0000000001,266974.95506929053,110379.0,184561.00000000015,537.0,122695.00000000016,,71606.0
2024-08-01,312497.0000000001,282101.83101094456,88635.0,223302.00000000012,560.0,163951.00000000012,,51098.0
2024-09-01,239821.99999999994,215658.8098341591,69269.0,170231.99999999994,321.0,122425.99999999994,,32882.0
2024-10-01,271571.0000000002,249665.7008373391,81187.0,189998.0000000002,386.0,132061.00000000017,,39706.0
2024-11-01,318822.00000000006,302674.076910829,97137.0,221084.00000000006,601.0,164221.00000000006,,49266.0
2024-12-01,383915.9999999999,361749.6884796847,113027.0,270242.9999999999,646.0,201891.99999999985,,72247.0
2025-01-01,306595.9999999999,289543.5982553855,101124.0,204868.9999999999,603.0,157647.9999999999,,53561.0
2025-02-01,268365.00000000006,254428.88643334265,92703.0,175050.00000000006,612.0,128702.00000000006,,49969.0
2025-03-01,299908.99999999994,278538.25098417036,107244.0,192069.99999999994,595.0,139873.99999999994,,61948.0
2025-04-01,321074.0000000001,300287.6910735994,93466.0,226671.00000000015,937.0,158699.00000000015,,52232.0
2025-05-01,270314.9999999998,247981.9259720942,87753.0,181985.9999999998,576.0,133312.9999999998,,51752.0
2025-06-01,273825.99999999994,254190.0961535216,99411.0,173922.99999999994,492.0,125142.99999999993,,68559.0
2025-07-01,307291.00000000006,283388.6987866118,117361.0,189324.0000000001,606.0,121912.00000000009,,73920.0
2025-08-01,315572.0000000001,293780.5243930469,90643.0,224363.00000000012,566.0,163534.0000000001,,52180.0
2025-09-01,236472.99999999994,218069.51122057904,70416.0,165690.99999999994,366.0,124318.99999999993,,33282.0
2025-10-01,277299.0000000001,255920.93232213068,90000.0,186906.00000000012,393.0,130457.00000000009,,46323.0
2025-11-01,328430.9999999998,310585.52010717517,111567.0,216329.99999999985,534.0,160120.99999999985,,56224.0
2025-12-01,392086.99999999965,365573.0218067979,127283.0,264139.99999999965,664.0,194544.99999999968,,79332.0
2026-01-01,319106.00000000006,300664.07527322107,113435.0,205027.0000000001,644.0,142166.0000000001,,58503.0
2026-02-01,254047.99999999997,236844.11361811563,106821.0,146468.99999999997,758.0,99278.99999999999,,56313.0
2026-03-01,311226.0000000002,291160.36570034793,127540.0,183014.00000000017,672.0,120481.00000000016,,73023.0
2026-04-01,278198.99999999994,260951.04561236833,102029.0,175449.99999999997,720.0,113870.99999999996,,55450.0
2026-05-01,260665.99999999977,241312.29525905842,95804.0,164258.99999999977,603.0,115940.9999999998,,54947.0
2026-06-01,259391.00000000003,245687.58097717003,98211.0,160604.00000000003,576.0,110566.00000000003,,65514.0
